"Date","Time","AqsID","Site Name","Parameter","Units","Concentration","Agency","AQI_Value","2021-12-21 08:38:11","rank"
"12/21/2021","7:00","270317810","Grand Portage","PM25","UG/M3",1,"Minnesota Pollution Control Agency",4,"2021-12-21 08:38:10",1
"12/21/2021","7:00","270353204","Brainerd","PM25","UG/M3",1,"Minnesota Pollution Control Agency",4,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840470990003","Loretto","PM25","UG/M3",1,"Tennessee Air Pollution Control Div.",4,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840530610021","Tulalip-Totem Beach ","PM25","UG/M3",1,"Washington Department of Ecology",4,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840060831009","Santa Maria","PM10","UG/M3",3,"Santa Barbara County Air Pollution Control District",3,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840560391006","Jackson SLAMS","PM10","UG/M3",3,"Wyoming Department of Environmental Quality",3,"2021-12-21 08:38:10",1
"12/21/2021","6:00","840482010417","Houston Harvard Stre","OZONE","PPB",2,"Texas Commission on Environmental Quality",2,"2021-12-21 08:38:10",1
"12/21/2021","7:00","270530954","Minneapolis-Downtown","SO2","PPB",1,"Minnesota Pollution Control Agency",1,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840390630005","Sunny Farms West","SO2","PPB",1,"Ohio EPA-DAPC",1,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840560131003","Lander SLAMS","PM25","UG/M3",0.2,"Wyoming Department of Environmental Quality",1,"2021-12-21 08:38:10",1
"12/21/2021","6:00","840011179001","Montevallo","SO2","PPB",0,"Alabama Department of Environmental Management",0,"2021-12-21 08:38:10",1
"12/21/2021","7:00","191130041","TAIT CUMMINS","SO2","PPB",0,"Linn Co. Public Health ",0,"2021-12-21 08:38:10",1
"12/21/2021","7:00","191390016","Muscatine, Greenwood","SO2","PPB",0,"Iowa DNR",0,"2021-12-21 08:38:10",1
"12/21/2021","7:00","191390020","Muscatine, Musser Pa","SO2","PPB",0,"Iowa DNR",0,"2021-12-21 08:38:10",1
"12/21/2021","7:00","270177417","Fond du Lac","PM25","UG/M3",0,"Minnesota Pollution Control Agency",0,"2021-12-21 08:38:10",1
"12/21/2021","7:00","270834210","Marshall","PM25","UG/M3",-1,"Minnesota Pollution Control Agency",0,"2021-12-21 08:38:10",1
"12/21/2021","7:00","550850996","RHINELANDER","SO2","PPB",-1,"Wisconsin DNR",0,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840211011011","Sebree","SO2","PPB",0,"Kentucky DEP",0,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840311570006","Scottsbluff HS","PM25","UG/M3",0,"Nebraska Department of Environment and Energy",0,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840391670011","Globe","SO2","PPB",0,"Ohio EPA-DAPC",0,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840471636003","Andrew Johnson Elem.","SO2","PPB",0,"Tennessee Air Pollution Control Div.",0,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840471636004","Happy Hill","SO2","PPB",0,"Tennessee Air Pollution Control Div.",0,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840550870015","Kaukauna","SO2","PPB",0,"Wisconsin DNR",0,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840560051002","Gillette SLAMS","PM25","UG/M3",-0.1,"Wyoming Department of Environmental Quality",0,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840560370007","Rock Springs SLAMS","PM25","UG/M3",0.1,"Wyoming Department of Environmental Quality",0,"2021-12-21 08:38:10",1
